Census year,Local board area,Local board area Code,Measure,Value,Value Unit,Value Label,Null Reason
2013–18,Albert-Eden,Albert-Eden Local Board Area,Percentage change in resident population count,4.1,percentage,% change,
2018–23,Albert-Eden,Albert-Eden Local Board Area,Change in resident population count,-1992,number,Number of people,
2018–23,Albert-Eden,Albert-Eden Local Board Area,Percentage change in resident population count,-2,percentage,% change,
2013,Puketāpapa,Puketapapa Local Board Area,Census usually resident population count,52938,number,Number of people,
2018,Puketāpapa,Puketapapa Local Board Area,Census usually resident population count,57555,number,Number of people,
2023,Puketāpapa,Puketapapa Local Board Area,Census usually resident population count,56949,number,Number of people,
2013–18,Puketāpapa,Puketapapa Local Board Area,Change in resident population count,4617,number,Number of people,
2013–18,Puketāpapa,Puketapapa Local Board Area,Percentage change in resident population count,8.7,percentage,% change,
2018–23,Puketāpapa,Puketapapa Local Board Area,Change in resident population count,-606,number,Number of people,
2018–23,Puketāpapa,Puketapapa Local Board Area,Percentage change in resident population count,-1.1,percentage,% change,
2013,Ōrākei,Orakei Local Board Area,Census usually resident population count,79539,number,Number of people,
2018,Ōrākei,Orakei Local Board Area,Census usually resident population count,84318,number,Number of people,
2023,Ōrākei,Orakei Local Board Area,Census usually resident population count,83196,number,Number of people,
2013–18,Ōrākei,Orakei Local Board Area,Change in resident population count,4779,number,Number of people,
2013–18,Ōrākei,Orakei Local Board Area,Percentage change in resident population count,6,percentage,% change,
2018–23,Ōrākei,Orakei Local Board Area,Change in resident population count,-1122,number,Number of people,
2018–23,Ōrākei,Orakei Local Board Area,Percentage change in resident population count,-1.3,percentage,% change,
2013,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Census usually resident population count,70005,number,Number of people,
2018,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Census usually resident population count,76284,number,Number of people,
2023,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Census usually resident population count,78102,number,Number of people,
2013–18,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Change in resident population count,6279,number,Number of people,
2013–18,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Percentage change in resident population count,9,percentage,% change,
2018–23,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Change in resident population count,1818,number,Number of people,
2018–23,Maungakiekie-Tāmaki,Maungakiekie-Tamaki Local Board Area,Percentage change in resident population count,2.4,percentage,% change,
2013,Howick,Howick Local Board Area,Census usually resident population count,127125,number,Number of people,
2018,Howick,Howick Local Board Area,Census usually resident population count,140970,number,Number of people,
2023,Howick,Howick Local Board Area,Census usually resident population count,153570,number,Number of people,
2013–18,Howick,Howick Local Board Area,Change in resident population count,13845,number,Number of people,
2013–18,Howick,Howick Local Board Area,Percentage change in resident population count,10.9,percentage,% change,
2018–23,Howick,Howick Local Board Area,Change in resident population count,12600,number,Number of people,
2018–23,Howick,Howick Local Board Area,Percentage change in resident population count,8.9,percentage,% change,
2013,Māngere-Ōtāhuhu,Mangere-Otahuhu Local Board Area,Census usually resident population count,70959,number,Number of people,
2018,Māngere-Ōtāhuhu,Mangere-Otahuhu Local Board Area,Census usually resident population count,78450,number,Number of people,
2023,Māngere-Ōtāhuhu,Mangere-Otahuhu Local Board Area,Census usually resident population count,78642,number,Number of people,
2013–18,Māngere-Ōtāhuhu,Mangere-Otahuhu Local Board Area,Change in resident population count,7491,number,Number of people,
2013–18,Māngere-Ōtāhuhu,Mangere-Otahuhu Local Board Area,Percentage change in resident population count,10.6,percentage,% change,
2018–23,Māngere-Ōtāhuhu,Mangere-Otahuhu Local Board Area,Change in resident population count,192,number,Number of people,
2018–23,Māngere-Ōtāhuhu,Mangere-Otahuhu Local Board Area,Percentage change in resident population count,0.2,percentage,% change,
2013,Ōtara-Papatoetoe,Otara-Papatoetoe Local Board Area,Census usually resident population count,75663,number,Number of people,
2018,Ōtara-Papatoetoe,Otara-Papatoetoe Local Board Area,Census usually resident population count,85122,number,Number of people,
2023,Ōtara-Papatoetoe,Otara-Papatoetoe Local Board Area,Census usually resident population count,86949,number,Number of people,
2013–18,Ōtara-Papatoetoe,Otara-Papatoetoe Local Board Area,Change in resident population count,9459,number,Number of people,
2013–18,Ōtara-Papatoetoe,Otara-Papatoetoe Local Board Area,Percentage change in resident population count,12.5,percentage,% change,
2018–23,Ōtara-Papatoetoe,Otara-Papatoetoe Local Board Area,Change in resident population count,1827,number,Number of people,
2018–23,Ōtara-Papatoetoe,Otara-Papatoetoe Local Board Area,Percentage change in resident population count,2.1,percentage,% change,
2013,Manurewa,Manurewa Local Board Area,Census usually resident population count,82242,number,Number of people,
2018,Manurewa,Manurewa Local Board Area,Census usually resident population count,95670,number,Number of people,
2023,Manurewa,Manurewa Local Board Area,Census usually resident population count,98784,number,Number of people,
2013–18,Manurewa,Manurewa Local Board Area,Change in resident population count,13428,number,Number of people,
2013–18,Manurewa,Manurewa Local Board Area,Percentage change in resident population count,16.3,percentage,% change,
2018–23,Manurewa,Manurewa Local Board Area,Change in resident population count,3114,number,Number of people,
2018–23,Manurewa,Manurewa Local Board Area,Percentage change in resident population count,3.3,percentage,% change,
2013,Papakura,Papakura Local Board Area,Census usually resident population count,45636,number,Number of people,
2018,Papakura,Papakura Local Board Area,Census usually resident population count,57636,number,Number of people,
2023,Papakura,Papakura Local Board Area,Census usually resident population count,72318,number,Number of people,
2013–18,Papakura,Papakura Local Board Area,Change in resident population count,12000,number,Number of people,
2013–18,Papakura,Papakura Local Board Area,Percentage change in resident population count,26.3,percentage,% change,
2018–23,Papakura,Papakura Local Board Area,Change in resident population count,14682,number,Number of people,
2018–23,Papakura,Papakura Local Board Area,Percentage change in resident population count,25.5,percentage,% change,
2013,Franklin,Franklin Local Board Area,Census usually resident population count,65319,number,Number of people,
2018,Franklin,Franklin Local Board Area,Census usually resident population count,74838,number,Number of people,
2023,Franklin,Franklin Local Board Area,Census usually resident population count,84357,number,Number of people,
2013–18,Franklin,Franklin Local Board Area,Change in resident population count,9519,number,Number of people,
2013–18,Franklin,Franklin Local Board Area,Percentage change in resident population count,14.6,percentage,% change,
2018–23,Franklin,Franklin Local Board Area,Change in resident population count,9519,number,Number of people,
2018–23,Franklin,Franklin Local Board Area,Percentage change in resident population count,12.7,percentage,% change,
