financial_year,category,subcategory,measure,value
2017,response,type,unregistered-dog,2053
2017,enforcement,prosecution-appeal,total,217
2017,enforcement,nuisance-abatement-notice,issued,
2017,enforcement,nuisance-abatement-notice,properties,
2017,classification,shelters,menacing-s33a,
2017,classification,shelters,menacing-s33c,
2017,classification,shelters,dangerous-s31,
2017,infringements,offence,total,5098
2017,shelters,impound,total,8416
2017,shelters,claimed-returned,total,4770
2017,shelters,euthanised,total,2846
2017,shelters,adopted-rescued,total,711
2016,ownership,owners,total,
2016,ownership,owners,probationary,25
2016,ownership,owners,disqualified,7
2016,registrations,dogs,rdol,20638
2016,registrations,dogs,known,114519
2016,registrations,dogs,desexed,
2016,registrations,dogs,registered,106706
2016,classification,menacing,33A,412
2016,classification,menacing,33C,2325
2016,classification,dangerous,conviction,13
2016,classification,dangerous,evidence,20
2016,classification,dangerous,admission,7
2016,response,priority-1,total,14835
2016,response,priority-2,total,25525
2016,response,type,roaming-dog,10962
2016,response,type,barking-howling,8780
2016,response,type,pick-up-contained-dog,8372
2016,response,type,aggressive-people,
2016,response,type,attack-animals,1054
2016,response,type,attack-people,740
2016,response,type,bylaw-breach,784
2016,response,type,aggressive-animals,
2016,response,type,welfare,628
2016,response,type,police-spca,125
2016,response,type,relinquish-dog,121
2016,response,type,property-inspection,3496
2016,response,type,misc,926
2016,response,type,unregistered-dog,832
2016,enforcement,prosecution-appeal,total,197
2016,enforcement,nuisance-abatement-notice,issued,
2016,enforcement,nuisance-abatement-notice,properties,
2016,classification,shelters,menacing-s33a,
2016,classification,shelters,menacing-s33c,
2016,classification,shelters,dangerous-s31,
2016,infringements,offence,total,3835
2016,shelters,impound,total,8614
2016,shelters,claimed-returned,total,4599
2016,shelters,euthanised,total,3172
2016,shelters,adopted-rescued,total,446
2015,ownership,owners,total,
2015,ownership,owners,probationary,67
2015,ownership,owners,disqualified,9
2015,registrations,dogs,rdol,30583
2015,registrations,dogs,known,109840
2015,registrations,dogs,desexed,
2015,registrations,dogs,registered,100199
2015,classification,menacing,33A,418
2015,classification,menacing,33C,2570
2015,classification,dangerous,conviction,
2015,classification,dangerous,evidence,
2015,classification,dangerous,admission,
2015,classification,dangerous,total,45
2015,response,priority-1,total,11805
2015,response,priority-2,total,25674
2015,response,type,roaming-dog,
2015,response,type,barking-howling,
2015,response,type,pick-up-contained-dog,
2015,response,type,aggressive-people,
2015,response,type,attack-animals,
2015,response,type,attack-people,
2015,response,type,bylaw-breach,
2015,response,type,aggressive-animals,
2015,response,type,welfare,
2015,response,type,police-spca,
2015,response,type,relinquish-dog,
2015,response,type,property-inspection,
2015,response,type,misc,
2015,response,type,unregistered-dog,
2015,enforcement,prosecution-appeal,total,137
2015,enforcement,nuisance-abatement-notice,issued,
2015,enforcement,nuisance-abatement-notice,properties,
2015,classification,shelters,menacing-s33a,
2015,classification,shelters,menacing-s33c,
2015,classification,shelters,dangerous-s31,
2015,infringements,offence,total,4521
2015,shelters,impound,total,9432
2015,shelters,claimed-returned,total,4810
2015,shelters,euthanised,total,3961
2015,shelters,adopted-rescued,total,442
2014,ownership,owners,total,
2014,ownership,owners,probationary,66
2014,ownership,owners,disqualified,9
2014,registrations,dogs,rdol,28632
2014,registrations,dogs,known,105095
2014,registrations,dogs,desexed,
2014,registrations,dogs,registered,100756
2014,classification,menacing,33A,563
2014,classification,menacing,33C,705
2014,classification,dangerous,conviction,3
2014,classification,dangerous,evidence,38
2014,classification,dangerous,admission,0
2014,classification,dangerous,total,
2014,response,priority-1,total,16472
2014,response,priority-2,total,19785
2014,response,type,roaming-dog,
2014,response,type,barking-howling,
2014,response,type,pick-up-contained-dog,
2014,response,type,aggressive-people,
2014,response,type,attack-animals,
2014,response,type,attack-people,
2014,response,type,bylaw-breach,
2014,response,type,aggressive-animals,
2014,response,type,welfare,
2014,response,type,police-spca,
2014,response,type,relinquish-dog,
2014,response,type,property-inspection,
2014,response,type,misc,
2014,response,type,unregistered-dog,
2014,enforcement,prosecution-appeal,total,320
2014,enforcement,nuisance-abatement-notice,issued,
2014,enforcement,nuisance-abatement-notice,properties,
2014,classification,shelters,menacing-s33a,
2014,classification,shelters,menacing-s33c,
2014,classification,shelters,dangerous-s31,
2014,infringements,offence,total,4843
2014,shelters,impound,total,7373
2014,shelters,claimed-returned,total,3646
2014,shelters,euthanised,total,3016
2014,shelters,adopted-rescued,total,519
2023,resourcing,staff,total,103
2023,resourcing,staff,field,62
2022,resourcing,staff,total,98
2022,resourcing,staff,field,48
2021,resourcing,staff,total,87
2021,resourcing,staff,field,41
2020,resourcing,staff,total,91
2020,resourcing,staff,field,46
2019,resourcing,staff,total,86
2019,resourcing,staff,field,
2018,resourcing,staff,total,84
2018,resourcing,staff,field,
2017,resourcing,staff,total,104
2017,resourcing,staff,field,
2016,resourcing,staff,total,104
2016,resourcing,staff,field,
2015,resourcing,staff,total,104
2015,resourcing,staff,field,
