suburb,local_board,region,metric,count,known_suburb,known_board,known_region,p_suburb,p_board,p_region
Oratia,Waitākere Ranges Local Board Area,west,classification,8,341,6064,20046,0.02346041055718475,0.033641160949868076,0.05711862715753766
Oratia,Waitākere Ranges Local Board Area,west,current_reg,315,341,6064,20046,0.9237536656891495,0.9200197889182058,0.8856629751571385
Oratia,Waitākere Ranges Local Board Area,west,owner_reg,116,341,6064,20046,0.34017595307917886,0.34465699208443273,0.305846552928265
Orere Point,Franklin Local Board Area,south,animal_desexed,62,99,11978,33754,0.6262626262626263,0.6668058106528636,0.560407655388991
Orere Point,Franklin Local Board Area,south,classification,5,99,11978,33754,0.050505050505050504,0.03414593421272333,0.10665402618948866
Orere Point,Franklin Local Board Area,south,current_reg,85,99,11978,33754,0.8585858585858586,0.9143429620971781,0.8430111986727499
Orere Point,Franklin Local Board Area,south,owner_reg,39,99,11978,33754,0.3939393939393939,0.4029888128235098,0.29629080997807666
Orewa,Hibiscus and Bays Local Board Area,north,animal_desexed,1048,1374,12529,43051,0.7627365356622998,0.7449118046132972,0.7100648068569836
Orewa,Hibiscus and Bays Local Board Area,north,classification,14,1374,12529,43051,0.010189228529839884,0.015005187963923697,0.016979861094980373
Orewa,Hibiscus and Bays Local Board Area,north,current_reg,1304,1374,12529,43051,0.9490538573508006,0.9426929523505467,0.9315695338087385
Orewa,Hibiscus and Bays Local Board Area,north,owner_reg,607,1374,12529,43051,0.4417758369723435,0.37975895921462205,0.36059557269285264
Otahuhu,Māngere-Ōtāhuhu Local Board Area,south,animal_desexed,309,707,4809,33754,0.43705799151343705,0.45830734040341026,0.560407655388991
Otahuhu,Māngere-Ōtāhuhu Local Board Area,south,classification,113,707,4809,33754,0.15983026874115983,0.1933873986275733,0.10665402618948866
Otahuhu,Māngere-Ōtāhuhu Local Board Area,south,current_reg,565,707,4809,33754,0.7991513437057991,0.769182782283219,0.8430111986727499
Otahuhu,Māngere-Ōtāhuhu Local Board Area,south,owner_reg,120,707,4809,33754,0.16973125884016974,0.15263048450821376,0.29629080997807666
